train_condition,test_condition,phase,precision,recall,f1,jaccard
CRF28,Original,ClippingCutting,76.61134697028174,72.8440366972477,74.68021068472535,59.59171419993996
CRF28,Original,GallbladderDissection,85.51636009012341,94.92702228526633,89.97629409475284,81.77900694623102
CRF28,Original,GallbladderPackaging,74.47820343461031,93.46816976127322,82.89957359211881,70.79357106981416
CRF28,Original,CleaningCoagulation,82.12267113250994,75.11008998659774,78.45999999999998,64.5548790521639
CRF28,Original,GallbladderRetraction,79.3854531310774,82.66504657756177,80.9920634920635,68.05601867289096
CRF28,CRF18,Preparation,99.42528735632183,58.18385650224215,73.4087694483734,57.988826815642454
CRF28,CRF18,CalotTriangleDissection,88.91918455343838,92.73857549103896,90.78872829095383,83.13128019681655
CRF28,CRF18,ClippingCutting,78.95829010168084,69.81651376146789,74.10653422923362,58.8644801980198
CRF28,CRF18,GallbladderDissection,89.88192484776474,90.36171562954945,90.12118166080303,82.01870298841229
CRF28,CRF18,GallbladderPackaging,74.36893203883496,88.89257294429707,80.98474550672104,68.04568527918782
CRF28,CRF18,CleaningCoagulation,78.38855421686746,79.72429638139,79.05078310393925,65.35865641186626
CRF28,CRF18,GallbladderRetraction,82.15447154471545,81.85500202511138,82.00446337999594,69.49793672627234
CRF28,CRF23,Preparation,98.44179651695693,60.2017937219731,74.71304347826087,59.63353692393115
CRF28,CRF23,CalotTriangleDissection,90.69880297638305,92.7022022353019,91.68956043956044,84.65440710209258
CRF28,CRF23,ClippingCutting,83.6713359816015,73.43119266055047,78.21753151568456,64.22725084256139
CRF28,CRF23,GallbladderDissection,87.38565581064246,91.64582477882713,89.46505356752424,80.93825206870406
CRF28,CRF23,GallbladderPackaging,76.1837655016911,89.62201591511936,82.35831809872029,70.00777000777
CRF28,CRF23,CleaningCoagulation,79.34472934472934,74.65058395558108,76.92611226201046,62.50400769477397
CRF28,CRF23,GallbladderRetraction,85.50537634408603,80.51842851356824,82.93700458906967,70.84818246614397
CRF28,CRF28,Preparation,92.81218946671082,78.53139013452915,85.0766661606194,74.02906208718626
CRF28,CRF28,CalotTriangleDissection,94.58800585080449,89.80887507439984,92.13650858267182,85.41954962888414
CRF28,CRF28,ClippingCutting,79.76045473000406,72.09174311926606,75.73245952197378,60.94307429812316
CRF28,CRF28,GallbladderDissection,88.07081285174895,92.29534510433388,90.13360552649327,82.03928595129074
CRF28,CRF28,GallbladderPackaging,73.568281938326,88.59416445623343,80.38507821901325,67.20321931589537
CRF28,CRF28,CleaningCoagulation,75.3755364806867,80.7007466973004,77.94729542302358,63.86363636363637
CRF28,CRF28,GallbladderRetraction,75.07142857142857,85.13568246253544,79.78743594609983,66.37196084622671
CRF28,CRF35,Preparation,98.92294946147473,66.92825112107623,79.839518555667,66.4440734557596
CRF28,CRF35,CalotTriangleDissection,90.86566967520918,91.21420540969513,91.03960396039604,83.55293048614266
CRF28,CRF35,ClippingCutting,81.12962562215971,68.78899082568807,74.45139509482674,59.30085416007592
CRF28,CRF35,GallbladderDissection,86.74996470422137,91.7466124155437,89.17835307777435,80.47015682807844
CRF28,CRF35,GallbladderPackaging,73.27102803738318,90.98143236074272,81.17142434551103,68.30968384366443
CRF28,CRF35,CleaningCoagulation,79.42961165048543,75.18667432510053,77.24992623192682,62.93269230769231
CRF28,CRF35,GallbladderRetraction,82.79982927870252,78.57432158768732,80.63175394846218,67.54874651810584
CRF28,CRF51,Preparation,97.16867469879517,45.20739910313901,61.706197398622805,44.61964038727525
CRF28,CRF51,CalotTriangleDissection,80.6850134609632,89.19052972686991,84.72483980399548,73.49791547453609
CRF28,CRF51,ClippingCutting,79.09571344685848,24.71559633027523,37.662519222703764,23.20013778849466
CRF28,CRF51,GallbladderDissection,78.65288429476493,88.05106573593639,83.087056834393,71.0674580458558
CRF28,CRF51,GallbladderPackaging,65.75875486381322,84.05172413793103,73.78838597001894,58.4640221402214
CRF28,CRF51,CleaningCoagulation,74.37149133512327,58.338119854489754,65.38626609442059,48.57325043838674
CRF28,CRF51,GallbladderRetraction,80.86053412462908,66.22114216281896,72.812291249165,57.24789915966386
CRF35,Original,Preparation,98.60060514372164,73.06614349775785,83.93432066967162,72.31622746185853
CRF35,Original,CalotTriangleDissection,93.5449281578383,86.54189537728986,89.90724836825834,81.66500249625561
CRF35,Original,ClippingCutting,83.57715903728173,64.9908256880734,73.121387283237,57.630979498861045
CRF35,Original,GallbladderDissection,83.01713686555917,94.57613199447535,88.42046485656454,79.24433879644688
CRF35,Original,GallbladderPackaging,71.80490349504434,91.27984084880637,80.37956204379563,67.19550890895778
CRF35,Original,CleaningCoagulation,77.51923781604984,81.00708405131151,79.22479168617171,65.59689922480621
CRF35,Original,GallbladderRetraction,85.57046979865773,72.29647630619684,78.37541163556531,64.4404332129964
CRF35,CRF18,Preparation,99.4833255049319,59.360986547085204,74.35492364402317,59.178541492036885
CRF35,CRF18,CalotTriangleDissection,88.62980165704244,93.38337411546856,90.94451421762793,83.39288350804665
CRF35,CRF18,ClippingCutting,81.12359550561797,59.61467889908258,68.72554204124802,52.35256203673864
CRF35,CRF18,GallbladderDissection,87.95101443977335,89.80925006532532,88.87041962174939,79.97008475984711
CRF35,CRF18,GallbladderPackaging,62.58644536652835,90.01989389920423,73.83736741909165,58.52554429834016
CRF35,CRF18,CleaningCoagulation,77.78426791277259,76.48860807964772,77.13099720050198,62.77498428661219
CRF35,CRF18,GallbladderRetraction,87.04663212435233,68.04374240583232,76.38099568083656,61.78742184626701
CRF35,CRF23,Preparation,97.99059427105601,64.23766816143498,77.60284408329102,63.40248962655601
CRF35,CRF23,CalotTriangleDissection,91.47638308977035,92.72865551220157,92.09826266872476,85.35382742352762
