train_condition,test_condition,video,frames,accuracy,precision_macro,recall_macro,f1_macro,jaccard_macro,prec_Preparation,rec_Preparation,f1_Preparation,jac_Preparation,prec_CalotTriangleDissection,rec_CalotTriangleDissection,f1_CalotTriangleDissection,jac_CalotTriangleDissection,prec_ClippingCutting,rec_ClippingCutting,f1_ClippingCutting,jac_ClippingCutting,prec_GallbladderDissection,rec_GallbladderDissection,f1_GallbladderDissection,jac_GallbladderDissection,prec_GallbladderPackaging,rec_GallbladderPackaging,f1_GallbladderPackaging,jac_GallbladderPackaging,prec_CleaningCoagulation,rec_CleaningCoagulation,f1_CleaningCoagulation,jac_CleaningCoagulation,prec_GallbladderRetraction,rec_GallbladderRetraction,f1_GallbladderRetraction,jac_GallbladderRetraction
CRF35,CRF23,video64,2398,0.8457047539616347,0.837943409066105,0.7365900540564431,0.7283551999480179,0.6258083935445055,0.7439024390243902,1.0,0.8531468531468531,0.7439024390243902,1.0,0.8929924242424242,0.9434717358679339,0.8929924242424242,0.972972972972973,0.34951456310679613,0.5142857142857143,0.34615384615384615,0.7110694183864915,0.9921465968586387,0.8284153005464481,0.707089552238806,0.7709923664122137,0.9901960784313726,0.8669527896995708,0.7651515151515151,0.6666666666666666,0.11173184357541899,0.19138755980861244,0.10582010582010581,1.0,0.8195488721804511,0.9008264462809917,0.8195488721804511
CRF35,CRF23,video65,1873,0.9562199679658302,0.7960714901409863,0.7166675172118367,0.7329744078933462,0.681710457952635,1.0,0.8955823293172691,0.9449152542372882,0.8955823293172691,0.9631236442516269,0.9921787709497206,0.9774353329664281,0.9558665231431647,0.9245283018867925,0.9074074074074074,0.9158878504672898,0.8448275862068966,1.0,0.9782608695652174,0.989010989010989,0.9782608695652174,0.8666666666666667,1.0,0.9285714285714286,0.8666666666666667,0.0,0.0,0.0,0.0,0.8181818181818182,0.24324324324324326,0.375,0.23076923076923078
CRF35,CRF23,video66,1824,0.9199561403508771,0.7346603107843864,0.7519970368200356,0.736021840575477,0.6638793156041756,0.5,0.68,0.576271186440678,0.40476190476190477,0.970193740685544,1.0,0.9848714069591528,0.970193740685544,0.9308176100628931,0.925,0.9278996865203761,0.8654970760233918,0.89625,0.9862448418156808,0.9390962671905697,0.8851851851851852,0.845360824742268,0.9879518072289156,0.9111111111111111,0.8367346938775511,0.0,0.0,0.0,0.0,1.0,0.6847826086956522,0.8129032258064516,0.6847826086956522
CRF35,CRF23,video67,2353,0.9519762005949851,0.894368843647774,0.9427377964861002,0.9094419082969545,0.8420222706892174,1.0,0.844559585492228,0.9157303370786517,0.844559585492228,0.9653579676674365,0.982373678025852,0.9737914967967385,0.9489216799091941,0.8739495798319328,0.9541284403669725,0.912280701754386,0.8387096774193549,0.9936305732484076,0.9454545454545454,0.9689440993788819,0.9397590361445783,0.5909090909090909,0.9873417721518988,0.7393364928909953,0.5864661654135338,0.8367346938775511,0.9534883720930233,0.8913043478260869,0.803921568627451,1.0,0.9318181818181818,0.9647058823529412,0.9318181818181818
CRF35,CRF23,video68,1972,0.9198782961460447,0.8828777906991602,0.8518347152346072,0.8309896669133071,0.736523765095418,1.0,0.3627450980392157,0.5323741007194245,0.3627450980392157,0.9248878923766816,0.9975816203143894,0.9598603839441535,0.9228187919463087,0.9696969696969697,0.9876543209876543,0.9785932721712538,0.9580838323353293,0.9960861056751468,0.9549718574108818,0.975095785440613,0.9514018691588785,0.6634615384615384,1.0,0.7976878612716763,0.6634615384615384,0.9924242424242424,0.6717948717948717,0.8012232415902141,0.6683673469387755,0.6335877862595419,0.9880952380952381,0.772093023255814,0.6287878787878788
CRF35,CRF23,video69,4575,0.9333333333333333,0.8025563443384808,0.6800531033919636,0.7267001428707089,0.6412814742382006,1.0,0.5797101449275363,0.7339449541284404,0.5797101449275363,0.9819872167344567,0.9994086339444116,0.9906213364595544,0.9814169570267132,1.0,0.68359375,0.8120649651972158,0.68359375,0.9227854097584084,0.981360201511335,0.9511718749999999,0.9068901303538175,0.7358490566037735,0.7684729064039408,0.7518072289156625,0.6023166023166023,0.0,0.0,0.0,0.0,0.9772727272727273,0.7478260869565218,0.8472906403940887,0.7350427350427351
CRF35,CRF23,video70,1194,0.8852596314907872,0.7622912858353482,0.7465467101421025,0.7353207167826262,0.657456311033972,0.8536585365853658,1.0,0.9210526315789475,0.8536585365853658,0.99,0.9880239520958084,0.989010989010989,0.9782608695652174,0.9555555555555556,0.86,0.9052631578947369,0.8269230769230769,0.7930232558139535,0.9342465753424658,0.8578616352201257,0.751101321585903,0.743801652892562,0.989010989010989,0.8490566037735849,0.7377049180327869,0.0,0.0,0.0,0.0,1.0,0.45454545454545453,0.625,0.45454545454545453
CRF35,CRF23,video71,2515,0.862027833001988,0.774868838281351,0.6152514148358933,0.6633996084892415,0.557912148003121,1.0,0.3611111111111111,0.5306122448979591,0.3611111111111111,0.8943661971830986,0.8431535269709544,0.8680051260145237,0.7667924528301887,0.8958333333333334,0.7049180327868853,0.7889908256880733,0.6515151515151515,0.8104838709677419,0.886438809261301,0.8467614533965245,0.7342465753424657,0.9003215434083601,0.9893992932862191,0.9427609427609428,0.89171974522293,0.0,0.0,0.0,0.0,0.9230769230769231,0.5217391304347826,0.6666666666666667,0.5
CRF35,CRF23,video72,3106,0.8670315518351578,0.8334920135800571,0.847959424586887,0.8049932054567195,0.6877468084241772,1.0,0.40145985401459855,0.5729166666666666,0.40145985401459855,0.8714918759231906,0.9991532599491956,0.9309664694280079,0.8708487084870848,0.6214689265536724,0.9734513274336283,0.7586206896551724,0.6111111111111112,1.0,0.7520868113522537,0.8585040495474036,0.7520868113522537,0.6666666666666666,1.0,0.8,0.6666666666666666,0.6748166259168704,0.9484536082474226,0.7885714285714285,0.6509433962264151,1.0,0.8611111111111112,0.9253731343283582,0.8611111111111112
CRF35,CRF23,video73,1356,0.93952802359882,0.9382787274235744,0.8773552731365021,0.8980698210997916,0.8211778709208927,1.0,0.8247422680412371,0.903954802259887,0.8247422680412371,0.9473684210526315,1.0,0.972972972972973,0.9473684210526315,1.0,0.6153846153846154,0.761904761904762,0.6153846153846154,0.9196141479099679,0.9965156794425087,0.9565217391304348,0.9166666666666666,0.7857142857142857,0.9361702127659575,0.854368932038835,0.7457627118644068,0.9152542372881356,0.907563025210084,0.9113924050632911,0.8372093023255814,1.0,0.8611111111111112,0.9253731343283582,0.8611111111111112
CRF35,CRF23,video74,1634,0.7747858017135862,0.7896551375864937,0.6367938906683067,0.6800228787147659,0.5805219504512715,1.0,0.7241379310344828,0.8400000000000001,0.7241379310344828,0.7952755905511811,0.9758454106280193,0.876355748373102,0.7799227799227799,0.9878048780487805,0.627906976744186,0.7677725118483413,0.6230769230769231,0.8021978021978022,0.826025459688826,0.8139372822299652,0.6862514688601645,0.9423076923076923,0.9607843137254902,0.9514563106796117,0.9074074074074074,0.0,0.0,0.0,0.0,1.0,0.34285714285714286,0.5106382978723404,0.34285714285714286
CRF35,CRF23,video75,1923,0.890795631825273,0.7356887070080187,0.6002164025874005,0.59984839851942,0.5015772752675848,1.0,0.2459016393442623,0.3947368421052631,0.2459016393442623,0.7304015296367112,1.0,0.8441988950276242,0.7304015296367112,0.5675675675675675,0.75,0.6461538461538462,0.4772727272727273,1.0,0.9328859060402684,0.9652777777777778,0.9328859060402684,0.8518518518518519,1.0,0.92,0.8518518518518519,0.0,0.0,0.0,0.0,1.0,0.2727272727272727,0.42857142857142855,0.2727272727272727
CRF35,CRF23,video76,2649,0.7361268403171007,0.8856729667738643,0.6607096849170385,0.6690810102303077,0.5541048287203979,1.0,0.06666666666666667,0.125,0.06666666666666667,0.9565891472868217,0.6677489177489178,0.7864882090503506,0.648109243697479,1.0,0.3006535947712418,0.46231155778894467,0.3006535947712418,0.6128048780487805,0.9940652818991098,0.7582044511505093,0.6105710814094775,0.6764705882352942,1.0,0.8070175438596492,0.6764705882352942,0.9538461538461539,0.6458333333333334,0.7701863354037267,0.6262626262626263,1.0,0.95,0.9743589743589743,0.95
